"Time (ps)", "Coul-SR:Water-LIG", "LJ-SR:Water-LIG", "Coul-14:Water-LIG", "LJ-14:Water-LIG", "Coul-SR:LIG-LIG", "LJ-SR:LIG-LIG", "Coul-14:LIG-LIG", "LJ-14:LIG-LIG"
107.000000, -98.799240, -116.219009, 0.000000, 0.000000, -82.213638, -12.091002, -136.908936, 48.087456
108.000000, -94.424057, -90.037888, 0.000000, 0.000000, -86.089775, -7.103277, -137.600311, 46.346485
109.000000, -117.508186, -101.629013, 0.000000, 0.000000, -89.418060, -11.548418, -136.776382, 46.839275
110.000000, -93.952850, -115.322281, 0.000000, 0.000000, -86.935318, -13.724470, -130.646896, 48.630180
111.000000, -100.685265, -104.459190, 0.000000, 0.000000, -84.029556, -17.603127, -141.802719, 47.704678
112.000000, -137.411499, -84.594513, 0.000000, 0.000000, -84.536247, -3.429411, -140.759674, 46.223637
113.000000, -136.157028, -90.176300, 0.000000, 0.000000, -79.992722, -18.008438, -140.573380, 49.045506
114.000000, -88.006302, -94.534981, 0.000000, 0.000000, -85.697586, -18.014044, -136.846542, 45.016495
115.000000, -116.292274, -106.769073, 0.000000, 0.000000, -83.720352, -13.331004, -136.579910, 44.918262
116.000000, -107.440292, -100.608444, 0.000000, 0.000000, -77.397095, -6.667626, -142.708908, 44.216629
117.000000, -140.625702, -100.242485, 0.000000, 0.000000, -73.062927, -16.146053, -140.401413, 46.812820
118.000000, -151.194366, -80.886787, 0.000000, 0.000000, -75.159081, -19.383165, -144.371643, 41.985172
119.000000, -142.310120, -105.188049, 0.000000, 0.000000, -70.757065, -12.114493, -146.612411, 45.980854
120.000000, -109.380692, -109.109711, 0.000000, 0.000000, -80.463440, -6.510952, -139.634964, 51.006836
121.000000, -118.689911, -113.419830, 0.000000, 0.000000, -68.514259, -21.338717, -149.943985, 46.139435
122.000000, -127.918274, -119.502182, 0.000000, 0.000000, -67.769073, -7.662334, -147.686508, 48.346088
123.000000, -128.173279, -109.966042, 0.000000, 0.000000, -80.111931, -14.640656, -138.424210, 44.802620
124.000000, -118.595940, -118.093918, 0.000000, 0.000000, -78.207008, -15.061915, -142.219635, 48.031967
125.000000, -101.943764, -100.472351, 0.000000, 0.000000, -77.269516, -14.979249, -141.356750, 46.013565
126.000000, -91.333427, -105.133965, 0.000000, 0.000000, -80.834038, -18.823717, -138.637619, 42.214275
127.000000, -111.198441, -120.535324, 0.000000, 0.000000, -69.193275, -8.314451, -151.084381, 52.747330
128.000000, -128.698715, -78.539459, 0.000000, 0.000000, -82.776299, -11.171380, -142.996689, 48.158531
129.000000, -112.568756, -100.760323, 0.000000, 0.000000, -87.642601, -7.273255, -135.657166, 52.938919
130.000000, -98.073402, -99.839630, 0.000000, 0.000000, -79.719231, -10.757235, -140.326309, 49.430740
131.000000, -113.143036, -120.418037, 0.000000, 0.000000, -76.674545, -10.776000, -138.232803, 43.069092
132.000000, -143.962921, -100.241333, 0.000000, 0.000000, -81.003601, -2.134550, -142.056702, 51.013779
133.000000, -109.945717, -122.240265, 0.000000, 0.000000, -69.851204, -15.221055, -149.811462, 45.620918
134.000000, -135.392410, -105.731979, 0.000000, 0.000000, -83.489609, -21.736898, -132.995987, 41.616558
135.000000, -116.775589, -105.245201, 0.000000, 0.000000, -80.513062, -5.406580, -138.489853, 47.090446
136.000000, -109.027359, -115.293312, 0.000000, 0.000000, -73.714287, -17.247520, -146.515640, 42.211742
137.000000, -130.969116, -101.432167, 0.000000, 0.000000, -72.417038, -0.923333, -148.055191, 52.818897
138.000000, -109.118538, -96.184616, 0.000000, 0.000000, -74.145691, -14.936284, -143.850525, 46.391731
139.000000, -87.373627, -122.659576, 0.000000, 0.000000, -82.015511, -11.808956, -137.442734, 42.899296
140.000000, -122.410683, -94.790169, 0.000000, 0.000000, -73.181259, -15.961149, -145.710434, 43.945995
141.000000, -108.147102, -119.144508, 0.000000, 0.000000, -86.758514, -13.747535, -131.248047, 46.483192
142.000000, -103.605415, -106.256157, 0.000000, 0.000000, -78.689377, -13.931401, -144.385590, 47.364616
143.000000, -153.251175, -92.767670, 0.000000, 0.000000, -79.686310, -12.170067, -141.987122, 45.660721
144.000000, -106.009239, -96.614555, 0.000000, 0.000000, -84.386177, -7.846812, -133.225479, 45.845108
145.000000, -106.573715, -91.969398, 0.000000, 0.000000, -87.907211, -3.512086, -133.827576, 50.183186
146.000000, -122.427132, -89.339462, 0.000000, 0.000000, -77.855995, -9.715948, -143.520538, 46.407372
147.000000, -116.613098, -117.779640, 0.000000, 0.000000, -65.355865, -13.653256, -153.782700, 51.458344
148.000000, -126.365219, -90.331512, 0.000000, 0.000000, -81.758102, -7.840928, -138.904373, 51.760502
149.000000, -86.544556, -112.626053, 0.000000, 0.000000, -84.540665, -11.122252, -140.860458, 48.298706
150.000000, -115.480431, -100.578011, 0.000000, 0.000000, -75.412979, -16.230564, -141.585480, 41.041092
151.000000, -90.655846, -104.964424, 0.000000, 0.000000, -69.142853, -15.917971, -154.583298, 50.068871
152.000000, -108.938171, -113.589394, 0.000000, 0.000000, -83.887001, -8.318574, -140.457932, 51.091991
153.000000, -118.681396, -94.878555, 0.000000, 0.000000, -72.533752, -10.106536, -143.909027, 46.480618
154.000000, -86.532143, -97.325005, 0.000000, 0.000000, -77.063622, -16.855318, -142.814667, 46.833290
155.000000, -98.535149, -102.630127, 0.000000, 0.000000, -86.565140, -4.150601, -130.980621, 46.953011
156.000000, -124.332092, -98.752151, 0.000000, 0.000000, -76.394226, -14.461021, -144.212250, 46.537697
157.000000, -92.701431, -87.848602, 0.000000, 0.000000, -87.814781, -14.593090, -137.742874, 48.440651
158.000000, -85.195168, -111.814346, 0.000000, 0.000000, -76.868759, -12.042282, -143.119354, 44.566460
159.000000, -121.146973, -98.516167, 0.000000, 0.000000, -81.340714, -13.023665, -140.704010, 46.645699
160.000000, -119.142464, -99.878220, 0.000000, 0.000000, -77.060150, -15.887994, -142.961884, 45.687336
161.000000, -149.524307, -94.131340, 0.000000, 0.000000, -78.716362, -13.803201, -141.339111, 48.729820
162.000000, -139.853287, -108.467308, 0.000000, 0.000000, -75.019089, -15.665183, -142.670410, 41.546131
163.000000, -112.926598, -111.108498, 0.000000, 0.000000, -83.166374, -4.496839, -142.848206, 46.629089
164.000000, -120.276138, -93.847237, 0.000000, 0.000000, -76.788986, -12.364697, -143.501923, 47.140015
165.000000, -135.311752, -98.363174, 0.000000, 0.000000, -67.195755, -12.584311, -148.477112, 49.156822
166.000000, -120.773666, -105.339890, 0.000000, 0.000000, -74.831520, -11.772917, -144.281311, 43.003723
167.000000, -129.363403, -104.380836, 0.000000, 0.000000, -81.589638, -10.678885, -132.238693, 49.084759
168.000000, -95.000992, -120.521858, 0.000000, 0.000000, -82.472755, -18.418812, -133.801605, 39.523193
169.000000, -109.981544, -104.058090, 0.000000, 0.000000, -81.345047, -11.038081, -138.018646, 44.806156
170.000000, -88.665436, -115.201843, 0.000000, 0.000000, -85.732254, -17.384525, -131.327087, 40.922985
171.000000, -130.766251, -103.654297, 0.000000, 0.000000, -72.977600, -17.732090, -146.181290, 39.993805
172.000000, -101.713745, -99.585045, 0.000000, 0.000000, -82.983658, -13.460229, -140.714310, 50.781796
173.000000, -110.821327, -100.663231, 0.000000, 0.000000, -73.348961, -13.176962, -143.520721, 41.574532
174.000000, -149.622040, -96.417320, 0.000000, 0.000000, -79.118500, -8.094193, -140.876266, 50.404785
175.000000, -163.009705, -118.379433, 0.000000, 0.000000, -81.303513, -6.243953, -137.456238, 45.057076
176.000000, -118.697220, -106.356651, 0.000000, 0.000000, -73.013206, -12.353541, -144.248062, 43.948524
177.000000, -111.882408, -105.042244, 0.000000, 0.000000, -79.476517, -8.448338, -139.165329, 49.437859
178.000000, -122.929703, -99.729385, 0.000000, 0.000000, -77.875389, -17.705286, -137.364471, 42.779297
179.000000, -104.717819, -90.346413, 0.000000, 0.000000, -86.712868, -2.497908, -134.560043, 46.908833
180.000000, -143.042221, -116.199608, 0.000000, 0.000000, -69.441635, -23.087837, -146.237595, 42.802101
181.000000, -82.057549, -99.261238, 0.000000, 0.000000, -84.889053, -18.862867, -143.242630, 46.320656
182.000000, -112.350853, -128.008957, 0.000000, 0.000000, -72.165894, -15.283127, -147.127945, 46.245960
