"Time (ps)", "Coul-SR:Water_and_ions-LIG", "LJ-SR:Water_and_ions-LIG", "Coul-14:Water_and_ions-LIG", "LJ-14:Water_and_ions-LIG", "Coul-SR:LIG-LIG", "LJ-SR:LIG-LIG", "Coul-14:LIG-LIG", "LJ-14:LIG-LIG"
97.000000, -311.007843, -186.047089, 0.000000, 0.000000, 298.031799, -41.402641, -656.911316, 101.785446
98.000000, -297.525879, -181.090424, 0.000000, 0.000000, 306.398560, -47.559658, -673.003418, 108.288361
99.000000, -288.718872, -187.516098, 0.000000, 0.000000, 294.502655, -41.690125, -651.359863, 101.888496
100.000000, -304.538910, -186.255402, 0.000000, 0.000000, 301.413391, -41.761425, -668.747986, 103.718109
101.000000, -320.504944, -182.640289, 0.000000, 0.000000, 283.889496, -42.268066, -646.717590, 104.327950
102.000000, -306.735748, -198.181473, 0.000000, 0.000000, 289.715454, -40.036285, -654.455994, 95.618217
103.000000, -314.227264, -175.475845, 0.000000, 0.000000, 296.265930, -39.697361, -655.217957, 98.899017
104.000000, -327.745331, -186.046844, 0.000000, 0.000000, 297.788605, -48.573086, -652.199463, 92.739182
105.000000, -347.534119, -168.273407, 0.000000, 0.000000, 288.260223, -39.787640, -659.664917, 101.897331
106.000000, -349.270325, -190.595932, 0.000000, 0.000000, 295.079437, -42.338428, -653.406921, 96.908585
107.000000, -276.662140, -198.539566, 0.000000, 0.000000, 306.785217, -40.084740, -666.729919, 100.730835
108.000000, -247.438202, -213.357422, 0.000000, 0.000000, 298.538208, -33.604218, -659.651062, 101.943840
109.000000, -285.395081, -193.577606, 0.000000, 0.000000, 296.479462, -35.949165, -648.543213, 97.122314
110.000000, -268.875916, -197.790421, 0.000000, 0.000000, 294.824646, -34.874599, -650.414917, 101.566238
111.000000, -295.020355, -187.346497, 0.000000, 0.000000, 292.648560, -35.863396, -653.205566, 98.170410
112.000000, -345.005920, -160.017670, 0.000000, 0.000000, 289.299286, -19.228258, -648.937073, 114.281654
113.000000, -298.536499, -209.834915, 0.000000, 0.000000, 313.266815, -45.300846, -670.909119, 103.060974
114.000000, -298.967407, -196.251755, 0.000000, 0.000000, 287.108276, -37.715214, -651.370911, 100.895096
115.000000, -296.005188, -193.957565, 0.000000, 0.000000, 304.207184, -36.750961, -662.094238, 99.686714
116.000000, -308.289154, -190.287415, 0.000000, 0.000000, 300.711395, -37.077847, -659.667725, 97.292519
117.000000, -249.168442, -181.449631, 0.000000, 0.000000, 288.829285, -43.905270, -650.325500, 98.028198
118.000000, -286.857910, -167.570724, 0.000000, 0.000000, 298.353882, -46.008823, -650.838074, 97.806046
119.000000, -320.909607, -195.007690, 0.000000, 0.000000, 285.669098, -35.558292, -649.492554, 107.045975
120.000000, -289.106995, -183.372818, 0.000000, 0.000000, 288.566895, -35.074886, -649.929382, 98.930244
121.000000, -283.614624, -213.319641, 0.000000, 0.000000, 287.946045, -36.357403, -644.492065, 94.621666
122.000000, -284.505920, -212.080399, 0.000000, 0.000000, 291.524170, -22.143112, -652.325256, 98.285530
123.000000, -242.469910, -206.083557, 0.000000, 0.000000, 287.276855, -20.830626, -648.100525, 99.032852
124.000000, -317.115692, -176.709106, 0.000000, 0.000000, 294.839081, -25.211218, -660.640442, 106.738609
125.000000, -293.874573, -188.612076, 0.000000, 0.000000, 283.923065, -34.619900, -647.807190, 118.850441
126.000000, -304.069855, -190.989502, 0.000000, 0.000000, 284.384308, -31.248896, -650.780212, 102.264351
127.000000, -237.192993, -182.053375, 0.000000, 0.000000, 283.421234, -40.921669, -649.640320, 102.357071
128.000000, -245.842834, -202.107803, 0.000000, 0.000000, 275.207947, -43.389797, -639.750488, 102.728851
129.000000, -273.356659, -163.994888, 0.000000, 0.000000, 277.054871, -35.105934, -637.683716, 101.425247
130.000000, -259.515198, -157.917007, 0.000000, 0.000000, 289.614929, -37.166985, -650.864136, 100.477188
131.000000, -261.635803, -174.242065, 0.000000, 0.000000, 277.133545, -36.617790, -642.981934, 101.235527
132.000000, -289.997803, -216.778992, 0.000000, 0.000000, 277.874542, -28.811382, -638.669617, 105.192665
133.000000, -306.889740, -177.051071, 0.000000, 0.000000, 285.593140, -34.882874, -646.972717, 102.756699
134.000000, -261.313354, -205.938477, 0.000000, 0.000000, 283.924072, -34.390171, -646.754333, 104.147934
135.000000, -297.353424, -205.125595, 0.000000, 0.000000, 276.935883, -20.436575, -637.586060, 99.096092
136.000000, -296.612366, -187.762695, 0.000000, 0.000000, 281.564972, -35.775093, -642.550110, 105.775848
137.000000, -339.503937, -189.675446, 0.000000, 0.000000, 277.137360, -33.235493, -636.764954, 105.126732
